ID,Location,Date,Claimed by AFRICOM?,Description of target ,DPH claim?,URL,
166,"Yaaq Braawe, Bay, Somalia",8-Jan-19,Yes,al-Shabaab encampment,No,https://airwars.org/civilian-casualties/ussom180-january-8-2019/,
167,"Baqdaad, Lower Juba, Somalia",7-Jan-19,Yes,al-Shabaab members engaging Somali forces,No,https://airwars.org/civilian-casualties/ussom178-january-7-2019/,
168,"Baqdaad, Lower Juba, Somalia",7-Jan-19,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom179-january-7-2019/,
169,"Vicinity of Deerow Sanle, Bay, Somalia",6-Jan-19,Yes,al-Shabaab members and vehicle,No,https://airwars.org/civilian-casualties/ussom177-january-6-2019/,
170,"Deerow Sanle, Bay, Somalia",2-Jan-19,Yes,al-Shabaab training camp,No,https://airwars.org/civilian-casualties/ussom176-january-2-2019/,
171," Jilib, Middle Juba, Somalia",30-Dec-18,No,al-Shabaab training camp,No,https://airwars.org/civilian-casualties/ussom175-december-30-2018/,
172,"Beled Amin South​, Lower Shabelle, Somalia",19-Dec-18,Yes,al-Shabaab members attacking AMISOM troops,Yes,https://airwars.org/civilian-casualties/ussom173-december-19-2018/,
173,"Beled Amin South​, Lower Shabelle, Somalia",19-Dec-18,Yes,al-Shabaab members attacking AMISOM troops,Yes,https://airwars.org/civilian-casualties/ussom174-december-19-2018/,
174," Gandarshe, Lower Shabelle, Somalia",16-Dec-18,Yes,al-Shabaab encampment,No,https://airwars.org/civilian-casualties/ussom171-december-16-2018/,
175," Gandarshe, Lower Shabelle, Somalia",16-Dec-18,Yes,al-Shabaab encampment,No,https://airwars.org/civilian-casualties/ussom172-december-16-2018/,
176," Mountainous area near Gandarshe, Lower Shabelle, Somalia",15-Dec-18,Yes,"al-Shabaab encampment, possible imminent attack",Maybe,https://airwars.org/civilian-casualties/ussom167-december-15-2018/,
177," Gandarshe, Lower Shabelle, Somalia",15-Dec-18,Yes,"al-Shabaab encampment, possible imminent attack",Maybe,https://airwars.org/civilian-casualties/som121a-december-15-2018/,
178," Gandarshe, Lower Shabelle, Somalia",15-Dec-18,Yes,"al-Shabaab encampment, possible imminent attack",Maybe,https://airwars.org/civilian-casualties/ussom169-december-15-2018/,
179," Gandarshe, Lower Shabelle, Somalia",15-Dec-18,Yes,"al-Shabaab encampment, possible imminent attack",Maybe,https://airwars.org/civilian-casualties/ussom170-december-15-2018/,
180,"Baladul Rahma, Lower Shabelle, Somalia","December 8–9, 2018",Yes,al-Shabaab members engaging partner forces,Yes,https://airwars.org/civilian-casualties/ussom166-c-december-8-2018/,
181,"Awdheegle, Lower Shabelle, Somalia",4-Dec-18,Yes,al-Shabaab members engaging partner forces,Yes,https://airwars.org/civilian-casualties/ussom165-december-4-2018/,
182,"Geelway mountain, Mudug, Somalia",30-Nov-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom164-november-30-2018/,
183,"Debatscile, Mudug, Somalia",27-Nov-18,Yes,al-Shabaab vehicles,No,https://airwars.org/civilian-casualties/ussom163-november-27-2018/,
184," Hargeysa Yarey, Middle Juba, Somalia",24-Nov-18,No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom162-november-24-2018/,
185,"Either Jimo-Luqunyar or Adaley, near Debatscile, Mudug, Somalia",21-Nov-18,Yes,al-Shabaab cache site,No,https://airwars.org/civilian-casualties/ussom161-november-21-2018/,
186,"Jimo Luqunyar or Adaley, near Debatscile, Mudug, Somalia",21-Nov-18,Yes,al-Shabaab weapons cache,No,https://airwars.org/civilian-casualties/ussom160-november-21-2018/,
187,"Caad, Mudug, Somalia",20-Nov-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom159-november-20-2018/,
188,"Debatcile, Mudug, Somalia",19-Nov-18,Yes,al-Shabaab members and vehicles,No,https://airwars.org/civilian-casualties/ussom158-november-19-2018/,
189,"Vicinity of Quy Cad near Debatscile/ Dabad Shil, Hobyo, Somalia",19-Nov-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom157-november-19-2018/,
190,"Radio Andalus, Jilib, Middle Juba, Somalia",18-Nov-18,No,al-Shabaab radio station ,No,https://airwars.org/civilian-casualties/ussom156-c-november-18-2018/,
191,"Vicinity of Kunyo Barrow, Lower Juba, Somalia",25-Oct-18,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom154-october-25-2018/,
192,"Bulo Haji, Lower Juba, Somalia",18-Oct-18,No,town,No,https://airwars.org/civilian-casualties/ussom153-c-october-18-2018/,
193,"Araara, Lower Juba, Somalia",14-Oct-18,Yes,al-Shabaab members engaging Somali forces,Yes,https://airwars.org/civilian-casualties/ussom152-october-14-2018/,
194,"Jowle, Mudug, Somalia",12-Oct-18,Yes,al-Shabaab training camp,No,https://airwars.org/civilian-casualties/ussom151-october-12-2018/,
195," Kunyo Barrow, Lower Shabelle, Somalia",6-Oct-18,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom150-october-6-2018/,
196,"Ceel Gadde, El Adde, Gedo, Somalia",4-Oct-18,No,al-Shabaab members and civilian town ,No,https://airwars.org/civilian-casualties/ussom149-c-october-4-2018/,
197,"Baasra, Lower Shabelle, Somalia","October 2–3, 2018",No,village including al-Shabaab hideouts,No,https://airwars.org/civilian-casualties/ussom148-october-2-2018/,
198,"Jamaame, Lower Juba, Somalia",1-Oct-18,Yes,al-Shabaab members who attacked Somali forces,Maybe,https://airwars.org/civilian-casualties/ussom147-october-1-2018/,
199,"50 km northwest of Kismayo,  Lower Juba, Somalia",21-Sep-18,Yes,al-Shabaab members engaging US and partner forces,Yes,https://airwars.org/civilian-casualties/ussom146-september-21-2018/,
200," Saakow, Middle Juba, Somalia",19-Sep-18,No,al-Shabaab training school,No,https://airwars.org/civilian-casualties/ussom145-c-september-19-2018/,
201," Mubaraak, Lower Shabelle, Somalia",11-Sep-18,Yes,al-Shabaab members engaging US and partner forces,Yes,https://airwars.org/civilian-casualties/ussom144-september-11-2018/,
202,"40 km southwest of Mogadishu, Lower Shabelle, Somalia",27-Aug-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom143-august-27-2018/,
203,"46 km northeast of Kismayo, Lower Juba, Somalia",21-Aug-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom142-august-21-2018/,
204,"Basra, Lower Shabelle, Somalia","August 20–26, 2018",No,village,No,https://airwars.org/civilian-casualties/ussom141-c-august-20-2018/,
205,"Vicinity of Baladul-Rahma and Geeshaan, near Basraa, Lower Shabella, Somalia",14-Aug-18,No,villages,No,https://airwars.org/civilian-casualties/ussom140-c-august-14-2018/,
206,"Gobanle (Gobaale), Lower Shabelle, Somalia",2-Aug-18,Yes,vehicle including al-Shabaab members and civilians,No,https://airwars.org/civilian-casualties/ussom138-c-august-2-2018/,
207,"Baar Sanguni, 50 km north of Kismayo, Lower Juba, Somalia",23-Jul-18,Yes,"al-Shabaab members, possibly after attacking Somali forces",Maybe,https://airwars.org/civilian-casualties/ussom136-july-23-2018/,
208,"Qalimow, Middle Shabelle, Somalia","July 24–25, 2018",No,al-Shabaab vehicles,No,https://airwars.org/civilian-casualties/ussom137-july-23-2018/,
209,"Marka, Lower Shabelle, Somalia","July 22–27, 2018",No,village,No,https://airwars.org/civilian-casualties/ussom135-c-july-22-2018/,
210,"Jawaari, Middle Juba, Somalia","July 10–11, 2018",No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom134-july-10-2018/,
211,"Baar, Lower Juba, Somalia",8-Jun-18,Yes,al-Shabaab members engaging US and partner forces after an offensive,Yes,https://airwars.org/civilian-casualties/ussom133-june-8-2018/,
212,"24 miles southwest of Bosaso, Bari, Somalia",3-Jun-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom132-june-3-2018/,
213,"Galgala mountains, 26 miles southwest of Bosaso, Bari, Somalia",2-Jun-18,Yes,al-Shabaab members after attacking a Somali force,Maybe,https://airwars.org/civilian-casualties/ussom131-june-2-2018/,
214,"Bariire, Lower Shabelle, Somalia","May 29–June 3, 2018",No,"field, with al-Shabaab members and/or civilians",No,https://airwars.org/civilian-casualties/ussom130-c-may-31-2018/,
215,"30 miles southwest of Mogadishu, Lower Shabelle, Somalia",31-May-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom129-may-31-2018/,
216,"Arbiska, Lower Shabelle, Somalia",23-May-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom128-may-23-2018/,
217,"Bulcida Macalinka (northeast), Lower Shabelle, Somalia","May 9–10, 2018",Yes,farm including al-Shabaab members and civilians,No,https://airwars.org/civilian-casualties/ussom127-c-may-9-2018/,
218," Leego, Lower Shabelle, Somalia",16-Apr-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom126-april-16-2018/,
219,"Jana Cabdalle, Lower Shabelle, Somalia",11-Apr-18,Yes,al-Shabaab vehicle with IED,Yes,https://airwars.org/civilian-casualties/ussom125-april-11-2018/,
220," Jilib, Middle Juba, Somalia",5-Apr-18,Yes,al-Shabaab members and vehicle,No,https://airwars.org/civilian-casualties/ussom124-april-5-2018/,
221,"Ceel Buur, Galmudug, Somalia",1-Apr-18,Yes,vehicle including al-Shabaab members and civilians,No,https://airwars.org/civilian-casualties/ussom123-c-april-1-2018/,
222," Mubaraak, Lower Shabelle, Somalia",19-Mar-18,Yes,al-Shabaab members and vehicle,No,https://airwars.org/civilian-casualties/ussom122-march-19-2018/,
223,"Vicinity of Jamecco and Singulle, Middle Shabelle, Somalia",13-Mar-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom121-march-13-2018/,
224,"Kamsuuma, Lower Juba, Somalia",12-Mar-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom120-march-12-2018/,
225,"Jilib, Middle Juba, Somalia",26-Feb-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom119-february-26-2018/,
226,"Bangeeni, Lower Juba, Somalia",21-Feb-18,Yes,village including al-Shabaab and civilians,No,https://airwars.org/civilian-casualties/ussom118-c-february-21-2018/,
227,"Jilib, Middle Juba, Somalia",19-Feb-18,Yes,al-Shabaab training camp,No,https://airwars.org/civilian-casualties/ussom117-february-19-2018/,
228," Vicinity of Kunya Barrow, Middle Juba, Somalia",6-Feb-18,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom116-february-6-2018/,
229,"Jameeco Jilyaale near Beled ul Amin, Lower Shabelle, Somalia",18-Jan-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom115-c-january-18-2018/,
230,"Beer Xaani, Lower Juba, Somalia",18-Jan-18,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom114-january-18-2018/,
231,"Bariire, Lower Shabelle, Somalia",2-Jan-18,Yes,vehicle IED,Yes,https://airwars.org/civilian-casualties/ussom113-january-2-2018/,
232," Mubaraak, Lower Shabelle, Somalia",27-Dec-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom112-december-27-2017/,
233,"Ball Raho, between Buusaar and Burahache, Gedo, Somalia",24-Dec-17,Yes,"al-Shabaab encampment, possible imminent attack",Maybe,https://airwars.org/civilian-casualties/ussom111-december-24-2017/,
234,"30 miles northwest of Kismayo, IVO Qudus, Lower Juba, Somalia","December 15–16, 2017",Yes,al-Shabaab members and vehicle,No,https://airwars.org/civilian-casualties/ussom110-december-15-2017/,
235," Mubaraak, Lower Shabelle, Somalia","December 11–12, 2017",Yes,"vehicle IED but shown to contain bananas, explosion likely too small for IED claim ",Maybe,https://airwars.org/civilian-casualties/ussom109-december-12-2017/,
236,"130 km southwest of Mogadishu, Lower Shabelle, Somalia",6-Dec-17,No,vehicle including al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom108-c-december-6-2017/,
237,"Tortoroow, Lower Shabelle, Somalia",29-Nov-17,Yes,al-Shabaab training camp,No,https://airwars.org/civilian-casualties/ussom107-november-29-2017/,
238,"Hills around Dasaan, Bari, Somalia",27-Nov-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom106-november-27-2017/,
239,"Bur Elade, Bay, Somalia",21-Nov-17,Yes,al-Shabaab encampment,No,https://airwars.org/civilian-casualties/ussom105-november-21-2017/,
240,"Idow Jalaad, near Leego, Lower Shabelle, Somalia",14-Nov-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom104-november-14-2017/,
241,"Awhiigle, Gaduud, Lower Juba, Somalia",13-Nov-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom103-november-13-2017/,
242,"Golis Mountains, Puntland, Somalia",12-Nov-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom102-november-12-2017/,
243,"Southeast of Darusalaam, Lower Shabelle, Somalia",12-Nov-17,Yes,al-Shabaab members or civilian farmers ,No,https://airwars.org/civilian-casualties/ussom101-c-november-12-2017/,
244,"Osman Gaduud, Lower Shabelle, Somalia",11-Nov-17,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom100-november-11-2017/,
245,"2km north of Baasra, Lower Shabelle, Somalia","November 10–11, 2017",Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom099-c-november-10-2017/,
246,"Buulo Fuulay, Bay, Somalia",9-Nov-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom098-november-9-2017/,
247,"Farah Waeys, Lower Shabelle, Somalia",16-Oct-17,Yes,vehicle with al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom095-c-october-16-2017/,
248," Mubaraak, Lower Shabelle, Somalia",2-Oct-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom094-october-2-2017/,
249," Kunya Barrow, Middle Juba, Somalia",30-Sep-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom093-september-30-2017/,
250," Kunya Barrow, Middle Juba, Somalia","September 12–13, 2017",Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom092-september-12-2017/,
251," Kunya Barrow, Lower Shabelle, Somalia",7-Sep-17,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom091-september-7-2017/,
252,"Tortoroow and Dodale, Bay, Somalia",5-Sep-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom090-september-5-2017/,
253,", Kunya Barrow near Barawe, Middle Juba, Somalia","August 31–September 1, 2017",Yes,al-Shabaab members and vehicle,No,https://airwars.org/civilian-casualties/ussom089-august-31-2017/,
254,"Sheikh Ahmed Yare, 15 miles from Jilib, Middle Juba, Somalia","August 16–17, 2017",Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom087-c-august-16-2017/,
255,"Banadir, Somalia",10-Aug-17,Yes,al-Shabaab members engaging US and partner forces after an offensive,Yes,https://airwars.org/civilian-casualties/ussom085-august-10-2017/,
256,"Shashweyne, Banadir, Somalia",10-Aug-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom086-august-10-2017/,
257,"Tortoroow, Lower Shabelle, Somalia",30-Jul-17,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom084-july-30-2017/,
258,"Tortoroow, Lower Shabelle, Somalia",29-Jul-17,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom083-july-29-2017/,
259,"Southern Somalia, Somalia",28-Jul-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom082-july-28-2017/,
260,"Tortoroow, Lower Shabelle, Somalia",21-Jul-17,Yes,al-Shabaab compound,No,https://airwars.org/civilian-casualties/ussom080-july-21-2017/,
261,"Gaduud, Lower Juba, Somalia",20-Jul-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom079-july-20-2017/,
262,"Sunguuni, Lower Juba, Somalia",15-Jul-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom078-july-15-2017/,
263,"Luglaaw, Lower Juba, Somalia",5-Jul-17,Yes,al-Shabaab members engaging Somali forces,Yes,https://airwars.org/civilian-casualties/ussom076-july-5-2017/,
264,"Kunya Barrow, Middle Juba, Somalia",2-Jul-17,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom074-july-2-2017/,
265,"O'wdhiile, 55 miles south of Mogadishu, Lower Shabelle, Somalia","July 2–10, 2017",No,village,No,https://airwars.org/civilian-casualties/ussom075-c-july-2-2017/,
266,"Bohol Jawarey, Middle Juba, Somalia",11-Jun-17,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom073-june-11-2017/,
267,"Welmarow, Lower Juba, Somalia",3-Jun-17,No,al-Shabaab camp,No,https://airwars.org/civilian-casualties/ussom072-june-3-2017/,
268,", Andalus Radio, Darusalaam, Lower Shabelle, Somalia","May 4–5, 2017",Yes,"al-Shabaab compound, allegedly attacked US and Somali forces prior",No,https://airwars.org/civilian-casualties/ussom071-may-5-2017/,
269,"Wargaduud and El Adde, Gedo, Somalia","April 14–15, 2017",No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom070-april-15-2017/,
270,"Hawina, north of Kismayo, Lower Juba, Somalia",24-Feb-17,No,village,No,https://airwars.org/civilian-casualties/ussom069-february-24-2017/,
271,"Gaduud, Lower Juba, Somalia",7-Jan-17,Yes,"al-Shabaab members, allegedly 'threatened' AMISOM forces",Maybe,https://airwars.org/civilian-casualties/ussom068-january-7-2017/,
272,"Omar Beere/Ibrahim Ali Berre camp near Tortoroow, Lower Shabelle, Somalia","December 5–6, 2016",No,al-Shabaab base,No,https://airwars.org/civilian-casualties/ussom067-december-6-2016/,
273,"Jehdin, 30 km east of Galkayo, Mudug, Somalia",28-Sep-16,Yes,friendly militia falsely believed to be al-Shabaab,No,https://airwars.org/civilian-casualties/ussom066-c-september-28-2016/,
274,"Caba, Lower Juba, Somalia",26-Sep-16,Yes,al-Shabaab members engaging US and Somali forces,Yes,https://airwars.org/civilian-casualties/ussom065-september-26-2016/,
275," Saakow, Middle Juba, Somalia",10-Sep-16,Yes,unknown al-Shabaab objective,No,https://airwars.org/civilian-casualties/ussom064-september-10-2016/,
276,"Tortoroow, Lower Shabelle, Somalia",5-Sep-16,Yes,al-Shabaab members engaging US and Somali forces after offensive,Yes,https://airwars.org/civilian-casualties/ussom062-september-5-2016/,
277,"Tortoroow, Lower Shabelle, Somalia",5-Sep-16,Yes,al-Shabaab members engaging US and Somali forces after offensive,Yes,https://airwars.org/civilian-casualties/ussom063-september-5-2016/,
278,"Gobanle, Lower Shabelle, Somalia",30-Aug-16,Yes,al-Shabaab members engaging US and Somali forces after offensive,Yes,https://airwars.org/civilian-casualties/ussom061-august-30-2016/,
279,"El Adde, Gedo, Somalia",24-Jul-16,No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom059-july-24-2016/,
280,"South-central, Somalia",21-Jun-16,Yes,"al-Shabaab members, allegedly preparing an attack against US forces",Maybe,https://airwars.org/civilian-casualties/ussom058-june-21-2016/,
281,"Galgala, Bari, Somalia",11-Jun-16,No,al-Shabaab hideout,No,https://airwars.org/civilian-casualties/ussom057-june-11-2016/,
282,"Farwamo, near Bulogadud, Lower Juba, Somalia",31-May-16,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom056-may-31-2016/,
283," Jilib, Middle Juba, Somalia",27-May-16,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom055-may-27-2016/,
284,"Southern Somalia, Somalia",13-May-16,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom054-may-13-2016/,
285,"Sabiid, Lower Shabelle, Somalia",12-May-16,Yes,al-Shabaab members engaging AMISOM forces after offensive,Yes,https://airwars.org/civilian-casualties/ussom053-may-12-2016/,
286,"Tortoroow, Lower Shabelle, Somalia","May 9–10, 2016",Yes,al-Shabaab members during a raid ,Maybe ,https://airwars.org/civilian-casualties/ussom052-may-9-2016/,
287,"1.2 km east of Yontoy, Lower Juba, Somalia",11-Apr-16,Yes,village including al-Shabaab and civilians,No,https://airwars.org/civilian-casualties/ussom051-c-april-11-2016/,
288," Al Shabaab police station and vicinity in Jillib, Middle Juba, Somalia",6-Apr-16,Yes,"al-Shabaab members, allegedly posing an imminent threat to US forces",Maybe,https://airwars.org/civilian-casualties/ussom050-april-6-2016/,
289,"Lower Juba, Somalia",2-Apr-16,Yes,"al-Shabaab members, allegedly posing an imminent threat to US and Somali forces",Maybe ,https://airwars.org/civilian-casualties/ussom049-april-2-2016/,
290,"Buufow, Lower Shabelle, Somalia",1-Apr-16,Yes,"al-Shabaab members, allegedly posing an imminent threat to US and Somali forces",Maybe,https://airwars.org/civilian-casualties/ussom048-c-april-1-2016/,
291,"Between Jilib and Kamsuuma, Middle Juba, Somalia",31-Mar-16,Yes,vehicle including al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom047-march-31-2016/,
292,"Awdheegle, Lower Shabelle, Somalia",8-Mar-16,Yes,al-Shabaab-controlled town,No,https://airwars.org/civilian-casualties/ussom046-march-8-2016/,
293,"Raso camp, Hiiraan, Somalia",5-Mar-16,Yes,al-Shabaab training camp,No,https://airwars.org/civilian-casualties/ussom045-march-5-2016/,
294,"Shanta Ameriko, Lower Shabelle, Somalia",22-Dec-15,No,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom044-december-22-2015/,
295,"Kunyo-Barow, Lower Shabelle, Somalia",2-Dec-15,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom043-december-2-2015/,
296,"Yasooman, Ceeldheer, Ceel Lahelay, Hiiraan, Somalia",29-Nov-15,No,al-Shabaab-controlled villages,No,https://airwars.org/civilian-casualties/ussom042-november-29-2015/,
297,"Balad Amiin, Lower Shabelle, Somalia",22-Nov-15,Yes,al-Shabaab base,No,https://airwars.org/civilian-casualties/ussom041-november-22-2015/,
298,"Baardheere, Gedo, Somalia",15-Jul-15,Yes,"vehicle including al-Shabaab members, allegedly planning an attack on AMISOM ",Maybe,https://airwars.org/civilian-casualties/ussom039-july-15-2015/,
299," Baraawe, Lower Shabelle, Somalia","July 15, 2015–July 18, 2019",Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom040-july-15-2015/,
300,"Abaq Xaluul, Bay, Somalia",12-Mar-15,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom038-march-12-2015/,
301,"Tortoroow (and Ambereso), Lower Shabelle, Somalia",10-Mar-15,No,al-Shabaab camps,No,https://airwars.org/civilian-casualties/ussom037-march-10-2015/,
302,"Diinsoor, Bay, Somalia",2-Feb-15,Yes,unknown al-Shabaab objective,No,https://airwars.org/civilian-casualties/ussom036-february-2-2015/,
303,"Diinsoor, Bay, Somalia",31-Jan-15,Yes,vehicle including al-Shabaab members and civilians,No,https://airwars.org/civilian-casualties/ussom035-c-january-31-2015/,
304,"Dugule, Lower Shabelle, Somalia",31-Jan-15,No,al-Shabaab training camp,No,https://airwars.org/civilian-casualties/ussom034-c-january-31-2015/,
305," Saakow, Middle Juba, Somalia",29-Dec-14,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom033-december-29-2014/,
306,"Sablaale,  Lower Shabelle, Somalia",1-Sep-14,Yes,al-Shabaab encampment and vehicle,No,https://airwars.org/civilian-casualties/ussom032-september-1-2014/,
307,"Farigow, 3 km west of Jilib, Middle Jubba, Somalia","June 1–30, 2014",No,"colony, including civilians or al-Shabaab members",No,https://airwars.org/civilian-casualties/ussom031-c-may-20-2014/,
308,"Haway, Lower Shabelle, Somalia",26-Jan-14,Yes,al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom030-c-january-26-2014/,
309,"Jilib,  Middle Juba, Somalia","November 1–30, 2013",No,"civilian house, possibly with al-Shabaab members ",No,https://airwars.org/civilian-casualties/ussom029-c-november-1-2013/,
310,"Dhaytubako, Middle Juba, Somalia",28-Oct-13,Yes,vehicle including al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom028-october-28-2013/,
311," Jilib, Middle Juba, Somalia","June 1–30, 2013",No,al-Shabaab members and civilians,No,https://airwars.org/civilian-casualties/ussom026-c-june-1-2013/,
312,"K60, Lower Shabelle, Somalia",24-Feb-12,Yes,vehicle including al-Shabaab members,No,https://airwars.org/civilian-casualties/ussom022-c-february-24-2012/,
313,"Elasha Biyaha, Lower Shabelle, Somalia",21-Jan-12,Yes,al-Shabaab member (Bilal el Berjawi),No,https://airwars.org/civilian-casualties/ussom020-january-21-2012/,
314,"Kismayo, Lower Juba, Somalia",21-Jan-12,No,al-Shabaab stronghold town ,No,https://airwars.org/civilian-casualties/ussom021-c-january-21-2012/,
315,"Afgooye, Lower Shabelle, Somalia",14-Nov-11,No,al-Shabaab training camp,No,https://airwars.org/civilian-casualties/ussom019-november-14-2011/,
316,"Kismayo, Lower Juba, Somalia",23-Oct-11,No,al-Shabaab base,No,https://airwars.org/civilian-casualties/ussom018-october-23-2011/,
317,"Afmadow, Lower Juba, Somalia",22-Oct-11,No,town,No,https://airwars.org/civilian-casualties/ussom017-c-october-22-2011/,
318,"10 km east of Taabta, Lower Juba, Somalia",13-Oct-11,No,al-Shabaab base,No,https://airwars.org/civilian-casualties/ussom016-c-october-13-2011/,
319,"Dolbiyow, 35 kilometers east of Dhobley, Lower Juba, Somalia",6-Oct-11,No,civilian farmers after al-Shabaab fled the area,No,https://airwars.org/civilian-casualties/ussom015-c-october-6-2011/,
320,"Kismayo, Lower Juba, Somalia",25-Sep-11,No,al-Shabaab-controlled town,No,https://airwars.org/civilian-casualties/ussom014-september-25-2011/,
321,"Kismayo, Lower Juba, Somalia",15-Sep-11,No,al-Shabaab-controlled town,No,https://airwars.org/civilian-casualties/ussom013-c-september-15-2011/,
322,"Afmadow, Lower Juba, Somalia",6-Jul-11,No,al-Shabaab training camp,No,https://airwars.org/civilian-casualties/ussom012-c-july-6-2011/,
323,"Taabta, Lower Juba, Somalia",28-Jun-11,No,al-Shabaab-controlled village,No,https://airwars.org/civilian-casualties/ussom011-june-28-2011/,
324,"Kismayo, Lower Juba, Somalia","June 21–23, 2011",Yes,al-Shabaab training camp,No,https://airwars.org/civilian-casualties/ussom010-june-21-2011/,
325,"Dhoobley, Gedo, Somalia",3-Apr-11,No,al-Shabaab-controlled town,No,https://airwars.org/civilian-casualties/ussom009-april-3-2011/,
326," Baraawe, Lower Shabelle, Somalia",14-Sep-09,Yes,vehicle including al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom008-c-september-14-2009/,
327,"Dusa Marreb, Galgaduud, Somalia",1-May-08,Yes,al-Shabaab-controlled village,No,https://airwars.org/civilian-casualties/ussom007-c-may-1-2008/,
328,"Dhoobley, Lower Juba, Somalia",3-Mar-08,Yes,al-Shabaab-controlled town,No,https://airwars.org/civilian-casualties/ussom006-c-march-3-2008/,
329,"Bargaal, Bari, Somalia",1-Jun-07,Yes,al-Qaeda members attacking US forces,Yes,https://airwars.org/civilian-casualties/ussom005-c-june-1-2007/,
330,"Waldena, Lower Juba, Somalia",23-Jan-07,Yes,al-Shabaab member,No,https://airwars.org/civilian-casualties/ussom004-c-january-23-2007/,
331,"Xayo, Garer, Bankajirow and Badmadow, Ras Kambooni, Lower Juba, Somalia",9-Jan-07,Yes,towns with al-Qaeda members and civilians,No,https://airwars.org/civilian-casualties/ussom003-c-january-9-2007/,
332,"Hayo, Lower Juba, Somalia","January 8–9, 2007",No,towns with al-Qaeda members and civilians,No,https://airwars.org/civilian-casualties/ussom002-c-january-9-2007/,
333,"Ras Kamboni (possibly vicinity of Lag Badana Bushbush National Park), Lower Juba, Somalia",7-Jan-07,Yes,towns with al-Qaeda members and civilians,No,https://airwars.org/civilian-casualties/ussom001-c-january-7-2007/,
